"country"	"year"	"pop"	"gdpen"
"SWITZERLAND"	1999	NA	16.26197
"SPAIN"	1945	26946	1.686
"SPAIN"	1946	27012	1.845
"SPAIN"	1947	27222	1.893
"SPAIN"	1948	27436	1.965
"SPAIN"	1949	27650	2.056
"SPAIN"	1950	27868	1.913
"SPAIN"	1951	28104	2.214
"SPAIN"	1952	28344	2.304
"SPAIN"	1953	28580	2.205
"SPAIN"	1954	28817	2.491
"SPAIN"	1955	29057	2.614
"SPAIN"	1956	29307	2.791
"SPAIN"	1957	29553	2.881
"SPAIN"	1958	29803	2.996
"SPAIN"	1959	30053	2.878
"SPAIN"	1960	30455	3.123
"SPAIN"	1961	30746	3.492
"SPAIN"	1962	31067	3.821
"SPAIN"	1963	31394	4.111
"SPAIN"	1964	31722	4.311
"SPAIN"	1965	32056	4.58
"SPAIN"	1966	32394	4.869
"SPAIN"	1967	32735	5.04
"SPAIN"	1968	33080	5.299
"SPAIN"	1969	33428	5.717
"SPAIN"	1970	33779	5.861
"SPAIN"	1971	34190	6.025
"SPAIN"	1972	34448	6.49
"SPAIN"	1973	34810	6.943
"SPAIN"	1974	35147	7.291
"SPAIN"	1975	35515	7.238
"SPAIN"	1976	35937	7.387
"SPAIN"	1977	36367	7.444
"SPAIN"	1978	36778	7.412
"SPAIN"	1979	37108	7.348
"SPAIN"	1980	37386	7.39
"SPAIN"	1981	37756	7.239
"SPAIN"	1982	37980	7.301
"SPAIN"	1983	38172	7.375
"SPAIN"	1984	38342	7.38
"SPAIN"	1985	38574	7.536
"SPAIN"	1986	38605	7.821
"SPAIN"	1987	38716	8.291
"SPAIN"	1988	38809	8.759
"SPAIN"	1989	38888	9.238
"SPAIN"	1990	38959	9.583
"SPAIN"	1991	39025	9.769
"SPAIN"	1992	39085	9.802
"SPAIN"	1993	39083	9.668859
"SPAIN"	1994	39143	9.868488
"SPAIN"	1995	39210	10.12044
"SPAIN"	1996	39255.26	10.34126
"SPAIN"	1997	39323	10.72362
"SPAIN"	1998	39324.6	11.13423
"SPAIN"	1999	NA	11.54001
"PORTUGAL"	1945	8067	0.944
"PORTUGAL"	1946	8118	0.951
"PORTUGAL"	1947	8190	1.208
"PORTUGAL"	1948	8262	1.178
"PORTUGAL"	1949	8333	1.124
"PORTUGAL"	1950	8405	1.208
"PORTUGAL"	1951	8446	1.323
"PORTUGAL"	1952	8487	1.38
"PORTUGAL"	1953	8528	1.451
"PORTUGAL"	1954	8569	1.496
"PORTUGAL"	1955	8610	1.539
"PORTUGAL"	1956	8653	1.6
"PORTUGAL"	1957	8696	1.677
"PORTUGAL"	1958	8739	1.683
"PORTUGAL"	1959	8783	1.771
"PORTUGAL"	1960	8943	1.869
"PORTUGAL"	1961	8937	2.001
"PORTUGAL"	1962	9020	2.07
"PORTUGAL"	1963	9081	2.192
"PORTUGAL"	1964	9123	2.244
"PORTUGAL"	1965	9129	2.407
"PORTUGAL"	1966	9108	2.469
"PORTUGAL"	1967	9103	2.646
"PORTUGAL"	1968	9115	2.922
"PORTUGAL"	1969	9097	3.006
"PORTUGAL"	1970	9044	3.306
"PORTUGAL"	1971	8644	3.74
"PORTUGAL"	1972	8631	3.994
"PORTUGAL"	1973	8633	4.459
"PORTUGAL"	1974	8754	4.645
"PORTUGAL"	1975	9093	4.31
"PORTUGAL"	1976	9355	4.461
"PORTUGAL"	1977	9455	4.644
"PORTUGAL"	1978	9558	4.69
"PORTUGAL"	1979	9661	4.848
"PORTUGAL"	1980	9766	4.982
"PORTUGAL"	1981	9855	5.017
"PORTUGAL"	1982	9930	5.118
"PORTUGAL"	1983	10009	5.082
"PORTUGAL"	1984	10089	4.974
"PORTUGAL"	1985	10157	5.07
"PORTUGAL"	1986	10208	5.288
"PORTUGAL"	1987	10250	5.662
"PORTUGAL"	1988	10287	6.01
"PORTUGAL"	1989	9883	6.575
"PORTUGAL"	1990	9868	7.478
"PORTUGAL"	1991	9850	7.673983
"PORTUGAL"	1992	9850	7.86868
"PORTUGAL"	1993	9881	7.770378
"PORTUGAL"	1994	9902	7.927638
"PORTUGAL"	1995	9927	8.133046
"PORTUGAL"	1996	9930	8.420585
"PORTUGAL"	1997	9945	8.7206
"PORTUGAL"	1998	9951	9.001895
"PORTUGAL"	1999	NA	9.252459
"GERMANYFED. REP."	1945	85422	3.943
"GERMANYFED. REP."	1946	NA	NA
"GERMANYFED. REP."	1947	NA	NA
"GERMANYFED. REP."	1948	NA	NA
"GERMANYFED. REP."	1949	NA	NA
"GERMANYFED. REP."	1950	49989	3.421
"GERMANYFED. REP."	1951	50468	3.679
"GERMANYFED. REP."	1952	50947	3.994
"GERMANYFED. REP."	1953	51426	4.256
"GERMANYFED. REP."	1954	51905	4.56
"GERMANYFED. REP."	1955	52384	5.133
"GERMANYFED. REP."	1956	52991	5.389
"GERMANYFED. REP."	1957	53603	5.608
"GERMANYFED. REP."	1958	54210	5.749
"GERMANYFED. REP."	1959	54822	6.131
"GERMANYFED. REP."	1960	55435	6.57
"GERMANYFED. REP."	1961	56175	6.817
"GERMANYFED. REP."	1962	56836	7.023
"GERMANYFED. REP."	1963	57388	7.13
"GERMANYFED. REP."	1964	57970	7.56
"GERMANYFED. REP."	1965	58619	7.912
"GERMANYFED. REP."	1966	59147	8.002
"GERMANYFED. REP."	1967	59286	7.915
"GERMANYFED. REP."	1968	59499	8.389
"GERMANYFED. REP."	1969	60069	8.974
"GERMANYFED. REP."	1970	60651	9.425
"GERMANYFED. REP."	1971	61303	9.585
"GERMANYFED. REP."	1972	61675	9.906
"GERMANYFED. REP."	1973	61976	10.315
"GERMANYFED. REP."	1974	62059	10.211
"GERMANYFED. REP."	1975	61829	10.094
"GERMANYFED. REP."	1976	61527	10.712
"GERMANYFED. REP."	1977	61396	11.032
"GERMANYFED. REP."	1978	61323	11.375
"GERMANYFED. REP."	1979	61364	11.886
"GERMANYFED. REP."	1980	61563	11.92
"GERMANYFED. REP."	1981	61678	11.806
"GERMANYFED. REP."	1982	61635	11.666
"GERMANYFED. REP."	1983	61422	11.956
"GERMANYFED. REP."	1984	61176	12.302
"GERMANYFED. REP."	1985	61058	12.535
"GERMANYFED. REP."	1986	61108	12.839
"GERMANYFED. REP."	1987	61200	13.017
"GERMANYFED. REP."	1988	61474	13.456
"GERMANYFED. REP."	1989	61990	13.965
"GERMANYFED. REP."	1990	63230	14.628
"GERMANYFED. REP."	1991	80014	14.746
"GERMANYFED. REP."	1992	80624	14.709
"GERMANYFED. REP."	1993	81156	14.45368
"GERMANYFED. REP."	1994	81516	14.7275
"GERMANYFED. REP."	1995	81642	14.95869
"GERMANYFED. REP."	1996	81912	15.02195
"GERMANYFED. REP."	1997	82071	15.21037
"GERMANYFED. REP."	1998	82115	15.54227
"GERMANYFED. REP."	1999	NA	15.75897
"GERMAN DEM. REP."	1949	NA	NA
"GERMAN DEM. REP."	1950	NA	NA
"GERMAN DEM. REP."	1951	NA	NA
"GERMAN DEM. REP."	1952	NA	NA
"GERMAN DEM. REP."	1953	NA	NA
"GERMAN DEM. REP."	1954	18058	2.332
"GERMAN DEM. REP."	1955	17844	2.471
"GERMAN DEM. REP."	1956	17714	2.586
"GERMAN DEM. REP."	1957	17518	2.715
"GERMAN DEM. REP."	1958	17354	2.846
"GERMAN DEM. REP."	1959	17298	2.973
"GERMAN DEM. REP."	1960	17240	3.13
"GERMAN DEM. REP."	1961	17124	3.298
"GERMAN DEM. REP."	1962	17100	3.468
"GERMAN DEM. REP."	1963	17150	3.632
"GERMAN DEM. REP."	1964	16990	3.818
"GERMAN DEM. REP."	1965	17030	3.957
"GERMAN DEM. REP."	1966	17070	4.146
"GERMAN DEM. REP."	1967	17080	4.287
"GERMAN DEM. REP."	1968	17080	4.475
"GERMAN DEM. REP."	1969	17070	4.713
"GERMAN DEM. REP."	1970	17040	4.825
"GERMAN DEM. REP."	1971	17068	4.999
"GERMAN DEM. REP."	1972	17043	5.24
"GERMAN DEM. REP."	1973	16980	5.577
"GERMAN DEM. REP."	1974	16925	5.948
"GERMAN DEM. REP."	1975	16850	6.229
"GERMAN DEM. REP."	1976	16786	6.476
"GERMAN DEM. REP."	1977	16765	6.827
"GERMAN DEM. REP."	1978	16760	7.037
"GERMAN DEM. REP."	1979	16740	7.277
"GERMAN DEM. REP."	1980	16738	7.638
"GERMAN DEM. REP."	1981	16729	7.931
"GERMAN DEM. REP."	1982	16697	8.091
"GERMAN DEM. REP."	1983	16699	8.411
"GERMAN DEM. REP."	1984	16671	8.872
"GERMAN DEM. REP."	1985	16644	9.337
"GERMAN DEM. REP."	1986	16624	9.765
"GERMAN DEM. REP."	1987	16641	10.081
"GERMAN DEM. REP."	1988	16666	10.435
"GERMAN DEM. REP."	1989	16630	10.924
"GERMAN DEM. REP."	1990	16247	11.235
"POLAND"	1945	26432	0.669
"POLAND"	1946	23958	0.788
"POLAND"	1947	23734	0.98
"POLAND"	1948	23980	1.077
"POLAND"	1949	24410	1.141
"POLAND"	1950	24824	1.256
"POLAND"	1951	25270	1.381
"POLAND"	1952	25752	1.461
"POLAND"	1953	26254	1.561
"POLAND"	1954	26760	1.613
"POLAND"	1955	27280	1.662
"POLAND"	1956	27814	1.795
"POLAND"	1957	28310	1.937
"POLAND"	1958	28770	1.903
"POLAND"	1959	29240	2.031
"POLAND"	1960	29702	2.117
"POLAND"	1961	29964	2.214
"POLAND"	1962	30320	2.305
"POLAND"	1963	30630	2.459
"POLAND"	1964	30886	2.564
"POLAND"	1965	31144	2.609
"POLAND"	1966	31405	2.684
"POLAND"	1967	31667	2.782
"POLAND"	1968	31932	2.964
"POLAND"	1969	32199	3.182
"POLAND"	1970	32526	2.941
"POLAND"	1971	32805	3.128
"POLAND"	1972	33068	3.444
"POLAND"	1973	33363	3.859
"POLAND"	1974	33691	4.187
"POLAND"	1975	34022	4.544
"POLAND"	1976	34362	4.88
"POLAND"	1977	34698	5.064
"POLAND"	1978	35010	5.12
"POLAND"	1979	35225	4.844
"POLAND"	1980	35578	4.419
"POLAND"	1981	35902	3.973
"POLAND"	1982	36227	3.654
"POLAND"	1983	36571	3.804
"POLAND"	1984	36914	3.963
"POLAND"	1985	37203	4.177
"POLAND"	1986	37456	4.327
"POLAND"	1987	37664	4.396
"POLAND"	1988	37862	4.529
"POLAND"	1989	37963	4.525
"POLAND"	1990	38119	3.82
"POLAND"	1991	38245	3.712
"POLAND"	1992	38365	3.826
"POLAND"	1993	38459	3.96165
"POLAND"	1994	38543.6	4.158509
"POLAND"	1995	38587.6	4.444531
"POLAND"	1996	38618	4.707494
"POLAND"	1997	38650	5.023441
"POLAND"	1998	38666.15	5.262368
"POLAND"	1999	NA	5.479846
"AUSTRIA"	1945	NA	NA
"AUSTRIA"	1946	NA	NA
"AUSTRIA"	1947	NA	NA
"AUSTRIA"	1948	NA	NA
"AUSTRIA"	1949	NA	NA
"AUSTRIA"	1950	6935	2.93
"AUSTRIA"	1951	6937	3.125
"AUSTRIA"	1952	6940	3.093
"AUSTRIA"	1953	6943	3.183
"AUSTRIA"	1954	6945	3.474
"AUSTRIA"	1955	6947	3.886
"AUSTRIA"	1956	6967	4.026
"AUSTRIA"	1957	6987	4.258
"AUSTRIA"	1958	7008	4.419
"AUSTRIA"	1959	7028	4.565
"AUSTRIA"	1960	7048	5.143
"AUSTRIA"	1961	7087	5.388
"AUSTRIA"	1962	7130	5.481
"AUSTRIA"	1963	7172	5.688
"AUSTRIA"	1964	7215	5.978
"AUSTRIA"	1965	7255	6.144
"AUSTRIA"	1966	7308	6.437
"AUSTRIA"	1967	7338	6.596
"AUSTRIA"	1968	7362	6.847
"AUSTRIA"	1969	7384	7.162
"AUSTRIA"	1970	7426	7.51
"AUSTRIA"	1971	7460	7.851
"AUSTRIA"	1972	7510	8.286
"AUSTRIA"	1973	7553	8.669
"AUSTRIA"	1974	7564	8.974
"AUSTRIA"	1975	7556	8.936
"AUSTRIA"	1976	7552	9.361
"AUSTRIA"	1977	7559	9.782
"AUSTRIA"	1978	7553	9.753
"AUSTRIA"	1979	7550	10.217
"AUSTRIA"	1980	7553	10.509
"AUSTRIA"	1981	7565	10.407
"AUSTRIA"	1982	7574	10.484
"AUSTRIA"	1983	7552	10.728
"AUSTRIA"	1984	7552	10.877
"AUSTRIA"	1985	7555	11.131
"AUSTRIA"	1986	7565	11.263
"AUSTRIA"	1987	7573	11.462
"AUSTRIA"	1988	7595	11.906
"AUSTRIA"	1989	7618	12.321
"AUSTRIA"	1990	7712	12.695
"AUSTRIA"	1991	7823	12.85
"AUSTRIA"	1992	7883	12.955
"AUSTRIA"	1993	7988.5	12.89578
"AUSTRIA"	1994	8027.5	13.15933
"AUSTRIA"	1995	8047	13.39751
"AUSTRIA"	1996	8059	13.64262
"AUSTRIA"	1997	8072.18	13.78223
"AUSTRIA"	1998	8088	14.16833
"AUSTRIA"	1999	NA	14.43729
"HUNGARY"	1945	9058	0.79
"HUNGARY"	1946	9042	0.807
"HUNGARY"	1947	9079	0.923
"HUNGARY"	1948	9158	1.023
"HUNGARY"	1949	9249	1.118
"HUNGARY"	1950	9338	1.188
"HUNGARY"	1951	9423	1.301
"HUNGARY"	1952	9504	1.46
"HUNGARY"	1953	9595	1.601
"HUNGARY"	1954	9706	1.698
"HUNGARY"	1955	9825	1.776
"HUNGARY"	1956	9911	1.751
"HUNGARY"	1957	9840	1.909
"HUNGARY"	1958	9882	1.997
"HUNGARY"	1959	9937	2.106
"HUNGARY"	1960	9984	1.846254
"HUNGARY"	1961	10028	2.181901
"HUNGARY"	1962	10040	2.307339
"HUNGARY"	1963	10070	2.419169
"HUNGARY"	1964	10100	2.539706
"HUNGARY"	1965	10130	2.615281
"HUNGARY"	1966	10160	2.785454
"HUNGARY"	1967	10200	2.999535
"HUNGARY"	1968	10240	3.139673
"HUNGARY"	1969	10270	3.319558
"HUNGARY"	1970	10337	3.358
"HUNGARY"	1971	10365	3.656
"HUNGARY"	1972	10394	3.725
"HUNGARY"	1973	10436	3.91
"HUNGARY"	1974	10471	4.253
"HUNGARY"	1975	10532	4.484
"HUNGARY"	1976	10589	4.586
"HUNGARY"	1977	10637	4.771
"HUNGARY"	1978	10673	5.095
"HUNGARY"	1979	10698	5.012
"HUNGARY"	1980	10710	4.992
"HUNGARY"	1981	10713	5.147
"HUNGARY"	1982	10711	5.166
"HUNGARY"	1983	10700	5.149
"HUNGARY"	1984	10679	5.231
"HUNGARY"	1985	10657	5.278
"HUNGARY"	1986	10640	5.423
"HUNGARY"	1987	10621	5.65
"HUNGARY"	1988	10596	5.562
"HUNGARY"	1989	10576	5.584
"HUNGARY"	1990	10553	5.357
"HUNGARY"	1991	10344	4.947
"HUNGARY"	1992	10313	4.645
"HUNGARY"	1993	10294	4.631699
"HUNGARY"	1994	10261	4.783536
"HUNGARY"	1995	10230	4.869501
"HUNGARY"	1996	10193	4.952665
"HUNGARY"	1997	10154.9	5.198582
"HUNGARY"	1998	10115.89	5.473172
"HUNGARY"	1999	NA	5.744882
"CZECHOSLOVAKIA"	1945	13743	0.809
"CZECHOSLOVAKIA"	1946	12916	0.854
"CZECHOSLOVAKIA"	1947	12164	0.924
"CZECHOSLOVAKIA"	1948	12339	0.97
"CZECHOSLOVAKIA"	1949	12339	1.014
"CZECHOSLOVAKIA"	1950	12389	1.065
"CZECHOSLOVAKIA"	1951	12532	1.109
"CZECHOSLOVAKIA"	1952	12683	1.163
"CZECHOSLOVAKIA"	1953	12820	1.206
"CZECHOSLOVAKIA"	1954	12952	1.271
"CZECHOSLOVAKIA"	1955	13093	1.324
"CZECHOSLOVAKIA"	1956	13229	1.389
"CZECHOSLOVAKIA"	1957	13358	1.453
"CZECHOSLOVAKIA"	1958	13474	1.532
"CZECHOSLOVAKIA"	1959	13565	1.579
"CZECHOSLOVAKIA"	1960	13654	1.603
"CZECHOSLOVAKIA"	1961	13752	1.712
"CZECHOSLOVAKIA"	1962	13851	1.758
"CZECHOSLOVAKIA"	1963	13950	1.706
"CZECHOSLOVAKIA"	1964	14027	1.652
"CZECHOSLOVAKIA"	1965	14105	1.8
"CZECHOSLOVAKIA"	1966	14183	2.124
"CZECHOSLOVAKIA"	1967	14262	2.119
"CZECHOSLOVAKIA"	1968	14341	2.253
"CZECHOSLOVAKIA"	1969	14420	2.395
"CZECHOSLOVAKIA"	1970	14334	2.52
"CZECHOSLOVAKIA"	1971	14390	2.629
"CZECHOSLOVAKIA"	1972	14465	2.751
"CZECHOSLOVAKIA"	1973	14560	2.906
"CZECHOSLOVAKIA"	1974	14686	3.1
"CZECHOSLOVAKIA"	1975	14802	3.254
"CZECHOSLOVAKIA"	1976	14918	3.351
"CZECHOSLOVAKIA"	1977	15031	3.443
"CZECHOSLOVAKIA"	1978	15138	3.598
"CZECHOSLOVAKIA"	1979	15211	3.666
"CZECHOSLOVAKIA"	1980	15262	3.731
"CZECHOSLOVAKIA"	1981	15314	3.696
"CZECHOSLOVAKIA"	1982	15366	3.718
"CZECHOSLOVAKIA"	1983	15415	3.805
"CZECHOSLOVAKIA"	1984	15459	3.863
"CZECHOSLOVAKIA"	1985	15500	3.92
"CZECHOSLOVAKIA"	1986	15534	4.001
"CZECHOSLOVAKIA"	1987	15573	4.017
"CZECHOSLOVAKIA"	1988	15607	4.11
"CZECHOSLOVAKIA"	1989	15638	4.19
"CZECHOSLOVAKIA"	1990	15662	4.095
"CZECHOSLOVAKIA"	1991	15583	4.855
"CZECHOSLOVAKIA"	1992	15730	NA
"CZECHREP"	1993	10331	3.9238
"CZECHREP"	1994	10336	4.008932
"CZECHREP"	1995	10331	4.249322
"CZECHREP"	1996	10315	4.461144
"CZECHREP"	1997	10304.1	4.419899
"CZECHREP"	1998	10286.28	4.326591
"CZECHREP"	1999	NA	4.323114
"SLOVAKIA"	1993	5324.6	2.600066
"SLOVAKIA"	1994	5347.3	2.716462
"SLOVAKIA"	1995	5332	2.907606
"SLOVAKIA"	1996	5343	3.081712
"SLOVAKIA"	1997	5383.3	3.24833
"SLOVAKIA"	1998	5391.95	3.376627
"SLOVAKIA"	1999	NA	3.437592
"ITALY"	1945	44891	2.272
"ITALY"	1946	44984	2.316
"ITALY"	1947	45362	2.549
"ITALY"	1948	45704	2.561
"ITALY"	1949	46008	2.452
"ITALY"	1950	46771	2.743
"ITALY"	1951	47055	2.941
"ITALY"	1952	47340	3.054
"ITALY"	1953	47629	3.264
"ITALY"	1954	47914	3.361
"ITALY"	1955	48198	3.579
"ITALY"	1956	48606	3.705
"ITALY"	1957	49009	3.836
"ITALY"	1958	49416	3.971
"ITALY"	1959	49819	4.206
"ITALY"	1960	50200	4.564
"ITALY"	1961	50522	4.919
"ITALY"	1962	50844	5.208
"ITALY"	1963	51198	5.498
"ITALY"	1964	51600	5.579
"ITALY"	1965	51987	5.691
"ITALY"	1966	52330	6.009
"ITALY"	1967	52668	6.418
"ITALY"	1968	52985	6.776
"ITALY"	1969	53318	7.174
"ITALY"	1970	53822	7.568
"ITALY"	1971	54074	7.603
"ITALY"	1972	54381	7.731
"ITALY"	1973	54751	8.275
"ITALY"	1974	55111	8.669
"ITALY"	1975	55441	8.282
"ITALY"	1976	55718	8.809
"ITALY"	1977	55955	9.016
"ITALY"	1978	56155	9.284
"ITALY"	1979	56318	9.831
"ITALY"	1980	56434	10.323
"ITALY"	1981	56508	10.285
"ITALY"	1982	56640	10.262
"ITALY"	1983	56836	10.297
"ITALY"	1984	57005	10.561
"ITALY"	1985	57141	10.808
"ITALY"	1986	57246	11.115
"ITALY"	1987	57345	11.455
"ITALY"	1988	57452	11.918
"ITALY"	1989	57541	12.247
"ITALY"	1990	57661	12.488
"ITALY"	1991	57764	12.602
"ITALY"	1992	57809	12.721
"ITALY"	1993	57049	12.56658
"ITALY"	1994	57120	12.82798
"ITALY"	1995	57204	13.18372
"ITALY"	1996	57380	13.2869
"ITALY"	1997	57523	13.49455
"ITALY"	1998	57589.02	13.6858
"ITALY"	1999	NA	13.86681
"ALBANIA"	1945	1114	0.086
"ALBANIA"	1946	1132	0.09
"ALBANIA"	1947	1145	0.117
"ALBANIA"	1948	1164	0.141
"ALBANIA"	1949	1183	0.193
"ALBANIA"	1950	1215	0.227
"ALBANIA"	1951	1242	0.235
"ALBANIA"	1952	1270	0.271
"ALBANIA"	1953	1302	0.285
"ALBANIA"	1954	1340	0.29
"ALBANIA"	1955	1379	0.302
"ALBANIA"	1956	1421	0.378
"ALBANIA"	1957	1462	0.509
"ALBANIA"	1958	1507	0.561
"ALBANIA"	1959	1556	0.604
"ALBANIA"	1960	1607	0.645
"ALBANIA"	1961	1660	0.702
"ALBANIA"	1962	1710	0.743
"ALBANIA"	1963	1760	0.683
"ALBANIA"	1964	1810	0.744
"ALBANIA"	1965	1870	0.729
"ALBANIA"	1966	1910	0.891
"ALBANIA"	1967	1960	1.025
"ALBANIA"	1968	2020	1.099
"ALBANIA"	1969	2080	1.316
"ALBANIA"	1970	2170	1.411
"ALBANIA"	1971	2226	0.959
"ALBANIA"	1972	2286	1.028
"ALBANIA"	1973	2347	1.093
"ALBANIA"	1974	2416	1.129
"ALBANIA"	1975	2401	1.251
"ALBANIA"	1976	2454	1.348
"ALBANIA"	1977	2508	1.407
"ALBANIA"	1978	2563	1.473
"ALBANIA"	1979	2617	1.537
"ALBANIA"	1980	2671	1.837
"ALBANIA"	1981	2724	1.757
"ALBANIA"	1982	2780	1.962
"ALBANIA"	1983	2838	2.125
"ALBANIA"	1984	2897	2.118
"ALBANIA"	1985	2957	2.176
"ALBANIA"	1986	3016	2.236
"ALBANIA"	1987	3076	2.254
"ALBANIA"	1988	3138	2.346
"ALBANIA"	1989	3202	2.365
"ALBANIA"	1990	3250	2.405
"ALBANIA"	1991	3301	1.978
"ALBANIA"	1992	3360	NA
"ALBANIA"	1993	3168	NA
"ALBANIA"	1994	3202	NA
"ALBANIA"	1995	3249	NA
"ALBANIA"	1996	3286	NA
"ALBANIA"	1997	3324.3	NA
"ALBANIA"	1998	3356.81	NA
"ALBANIA"	1999	NA	NA
"MACEDONIA"	1993	1933	NA
"MACEDONIA"	1994	1947	NA
"MACEDONIA"	1995	1966	NA
"MACEDONIA"	1996	1980	NA
"MACEDONIA"	1997	1996.87	NA
"MACEDONIA"	1998	2009.9	NA
"MACEDONIA"	1999	NA	NA
"CROATIA"	1992	4782.3	NA
"CROATIA"	1993	4779	NA
"CROATIA"	1994	4777	NA
"CROATIA"	1995	4776	NA
"CROATIA"	1996	4770.9	NA
"CROATIA"	1997	4572.5	NA
"CROATIA"	1998	4572.5	NA
"CROATIA"	1999	NA	NA
"YUGOSLAVIA"	1945	15456	0.147
"YUGOSLAVIA"	1946	15468	0.138
"YUGOSLAVIA"	1947	15683	0.231
"YUGOSLAVIA"	1948	15901	0.288
"YUGOSLAVIA"	1949	16133	0.641
"YUGOSLAVIA"	1950	16346	0.739
"YUGOSLAVIA"	1951	16588	0.653
"YUGOSLAVIA"	1952	16798	0.62
"YUGOSLAVIA"	1953	17048	0.591
"YUGOSLAVIA"	1954	17284	0.794
"YUGOSLAVIA"	1955	17518	0.938
"YUGOSLAVIA"	1956	17684	1.144
"YUGOSLAVIA"	1957	17858	1.294
"YUGOSLAVIA"	1958	18018	1.284
"YUGOSLAVIA"	1959	18214	1.557
"YUGOSLAVIA"	1960	18401	1.921
"YUGOSLAVIA"	1961	18613	2.041
"YUGOSLAVIA"	1962	18819	2.008
"YUGOSLAVIA"	1963	19029	2.199
"YUGOSLAVIA"	1964	19222	2.444
"YUGOSLAVIA"	1965	19434	2.407
"YUGOSLAVIA"	1966	19644	2.533
"YUGOSLAVIA"	1967	19839	2.621
"YUGOSLAVIA"	1968	20029	2.758
"YUGOSLAVIA"	1969	20208	3.184
"YUGOSLAVIA"	1970	20371	3.297
"YUGOSLAVIA"	1971	20572	3.664
"YUGOSLAVIA"	1972	20772	3.54
"YUGOSLAVIA"	1973	20956	3.669
"YUGOSLAVIA"	1974	21164	4.399
"YUGOSLAVIA"	1975	21365	4.352
"YUGOSLAVIA"	1976	21573	4.317
"YUGOSLAVIA"	1977	21775	4.883
"YUGOSLAVIA"	1978	21968	5.268
"YUGOSLAVIA"	1979	22166	5.672
"YUGOSLAVIA"	1980	22304	5.565
"YUGOSLAVIA"	1981	22471	5.549
"YUGOSLAVIA"	1982	22642	5.44
"YUGOSLAVIA"	1983	22805	5.337
"YUGOSLAVIA"	1984	22966	5.33
"YUGOSLAVIA"	1985	23124	5.172
"YUGOSLAVIA"	1986	23274	5.385
"YUGOSLAVIA"	1987	23417	5.135
"YUGOSLAVIA"	1988	23566	4.944
"YUGOSLAVIA"	1989	23690	5.006
"YUGOSLAVIA"	1990	23809	4.548
"YUGOSLAVIA"	1991	23928	2.74
"YUGOSLAVIA"	1992	10630	NA
"YUGOSLAVIA"	1993	10486	NA
"YUGOSLAVIA"	1994	10519	NA
"YUGOSLAVIA"	1995	10552	NA
"YUGOSLAVIA"	1996	10574	NA
"YUGOSLAVIA"	1997	10614	NA
"YUGOSLAVIA"	1998	10640.42	NA
"YUGOSLAVIA"	1999	NA	NA
"BOSNIA"	1992	3837.707	NA
"BOSNIA"	1993	3359.488	NA
"BOSNIA"	1994	2940.86	NA
"BOSNIA"	1995	2574.397	NA
"BOSNIA"	1996	2253.6	NA
"BOSNIA"	1997	2346.44	NA
"BOSNIA"	1998	2460	NA
"BOSNIA"	1999	NA	NA
"SLOVENIA"	1992	1996.6	NA
"SLOVENIA"	1993	1966.8	NA
"SLOVENIA"	1994	1988.9	NA
"SLOVENIA"	1995	1990	NA
"SLOVENIA"	1996	1991	NA
"SLOVENIA"	1997	1985.96	NA
"SLOVENIA"	1998	1985.76	NA
"SLOVENIA"	1999	NA	NA
"GREECE"	1945	7223	0.807
"GREECE"	1946	7244	0.704
"GREECE"	1947	7323	0.906
"GREECE"	1948	7402	1.137
"GREECE"	1949	7483	1.218
"GREECE"	1950	7566	1.409
"GREECE"	1951	7646	1.474
"GREECE"	1952	7726	1.441
"GREECE"	1953	7806	1.56
"GREECE"	1954	7886	1.622
"GREECE"	1955	7966	1.687
"GREECE"	1956	8039	1.819
"GREECE"	1957	8111	1.937
"GREECE"	1958	8183	2.011
"GREECE"	1959	8255	2.069
"GREECE"	1960	8327	2.093
"GREECE"	1961	8398	2.318
"GREECE"	1962	8448	2.337
"GREECE"	1963	8480	2.581
"GREECE"	1964	8510	2.8
"GREECE"	1965	8550	3.067
"GREECE"	1966	8614	3.187
"GREECE"	1967	8716	3.322
"GREECE"	1968	8741	3.557
"GREECE"	1969	8773	3.904
"GREECE"	1970	8793	4.224
"GREECE"	1971	8831	4.506
"GREECE"	1972	8889	4.869
"GREECE"	1973	8929	5.208
"GREECE"	1974	8962	4.967
"GREECE"	1975	9047	5.201
"GREECE"	1976	9167	5.418
"GREECE"	1977	9309	5.518
"GREECE"	1978	9430	5.791
"GREECE"	1979	9548	5.896
"GREECE"	1980	9643	5.901
"GREECE"	1981	9729	5.903
"GREECE"	1982	9790	5.971
"GREECE"	1983	9847	5.935
"GREECE"	1984	9896	6.007
"GREECE"	1985	9934	6.224
"GREECE"	1986	9964	6.279
"GREECE"	1987	9984	6.248
"GREECE"	1988	10004	6.459
"GREECE"	1989	10039	6.734
"GREECE"	1990	10123	6.768
"GREECE"	1991	10330	6.783
"GREECE"	1992	10300	6.76839
"GREECE"	1993	10378	6.747645
"GREECE"	1994	10426	6.863945
"GREECE"	1995	10458	6.982166
"GREECE"	1996	10475	7.135231
"GREECE"	1997	10522	7.363839
"GREECE"	1998	10547.63	7.620157
"GREECE"	1999	NA	7.858251
"CYPRUS"	1960	573	2.037
"CYPRUS"	1961	575	2.196
"CYPRUS"	1962	577	2.437
"CYPRUS"	1963	578	2.571
"CYPRUS"	1964	580	2.283
"CYPRUS"	1965	582	2.717
